pasta,cod,descr,qtdCx,venda
3,1007,Produto O,48,72
3,1008,Produto P,12,50
3,1009,Produto Q,6,10
3,1010,Produto R,24,8
3,1011,Produto S,12,9
3,1012,Produto T,48,12
3,1013,Produto U,12,24
3,1014,Produto V,6,36
3,1015,Produto W,24,48
3,1016,Produto X,12,99
3,1017,Produto Y,48,50
3,1018,Produto Z,12,100
3,1019,Produto AA,6,150
3,1020,Produto AB,24,111
3,1021,Produto AC,12,223
3,1022,Produto AD,48,333
3,1023,Produto AE,12,665
3,1024,Produto AF,6,540
4,1025,Produto AG,24,200
4,1026,Produto AH,12,250
4,1027,Produto AI,48,35
4,1028,Produto AJ,12,65
4,1029,Produto AK,6,88
4,1030,Produto AL,24,99
4,1031,Produto AM,12,105
4,1032,Produto AN,48,150
4,1033,Produto AO,12,250
4,1034,Produto AP,6,42
4,1035,Produto AQ,24,56
4,1036,Produto AR,12,99
4,1037,Produto AS,48,88
4,1038,Produto AT,12,77
4,1039,Produto AU,6,60
4,1040,Produto AV,24,320
4,1041,Produto AW,12,15
4,1042,Produto AX,48,48
4,1043,Produto D,48,99
4,1044,Produto E,12,650
4,1045,Produto F,24,72
4,1046,Produto G,6,50
4,1047,Produto H,12,10
4,1048,Produto I,24,8
4,1049,Produto J,48,9
4,1050,Produto K,12,12
4,1051,Produto L,6,24
4,1052,Produto M,24,36
4,1053,Produto N,12,48
4,1054,Produto O,48,99
4,1055,Produto P,12,50
4,1056,Produto Q,6,100
4,1057,Produto R,24,150
4,1058,Produto S,12,111
4,1059,Produto T,48,223
4,1060,Produto U,12,333
4,1061,Produto V,6,665
4,1062,Produto W,24,540
1,1063,Produto X,12,200
1,1064,Produto Y,48,250
1,1065,Produto Z,12,35
1,1066,Produto AA,6,65
1,1067,Produto AB,24,88
1,1068,Produto AC,12,99
1,1069,Produto AD,48,105
1,1070,Produto AE,12,150
1,1071,Produto AF,6,250
1,1072,Produto AG,24,42
1,1073,Produto AH,12,56
1,1074,Produto AI,48,99
1,1075,Produto AJ,12,88
1,1076,Produto AK,6,77
1,1077,Produto AL,24,60
1,1078,Produto AM,12,320
1,1079,Produto AN,48,15
1,1080,Produto AO,12,48
1,1081,Produto AP,6,99
1,1082,Produto AQ,24,650
2,1083,Produto AR,12,72
2,1084,Produto AS,48,50
2,1085,Produto AT,12,10
2,1086,Produto AU,6,8
2,1087,Produto AV,24,9
2,1088,Produto AW,12,12
2,1089,Produto AX,48,24
2,1090,Produto D,48,36
2,1091,Produto E,12,48
2,1092,Produto F,24,99
2,1093,Produto G,6,50
2,1094,Produto H,12,100
2,1095,Produto I,24,150
2,1096,Produto J,48,111
2,1097,Produto K,12,223
2,1098,Produto L,6,333
2,1099,Produto M,24,665
2,1100,Produto N,12,540
2,1101,Produto O,48,200
2,1102,Produto P,12,250
2,1103,Produto Q,6,35
2,1104,Produto R,24,65
2,1105,Produto S,12,88
3,1106,Produto T,48,99
3,1107,Produto U,12,105
3,1108,Produto V,6,150
3,1109,Produto W,24,250
3,1110,Produto X,12,42
3,1111,Produto Y,48,56
3,1112,Produto Z,12,99
3,1113,Produto AA,6,88
3,1114,Produto AB,24,77
3,1115,Produto AC,12,60
3,1116,Produto AD,48,320
3,1117,Produto AE,12,15
3,1118,Produto AF,6,48
3,1119,Produto AG,24,99
3,1120,Produto AH,12,650
3,1121,Produto AI,48,72
3,1122,Produto AJ,12,50
3,1123,Produto AK,6,10
3,1124,Produto AL,24,8
3,1125,Produto AM,12,9
3,1126,Produto AN,48,12
3,1127,Produto AO,12,24
3,1128,Produto AP,6,36
3,1129,Produto AQ,24,48
3,1130,Produto AR,12,99
3,1131,Produto AS,48,50
3,1132,Produto AT,12,100
3,1133,Produto AU,6,150
3,1134,Produto AV,24,111
3,1135,Produto AW,12,223
3,1136,Produto AX,48,333
3,1137,Produto D,48,665
3,1138,Produto E,12,540
3,1139,Produto F,24,200
3,1140,Produto G,6,250
3,1141,Produto H,12,35
3,1142,Produto I,24,65
4,1143,Produto J,48,88
4,1144,Produto K,12,99
4,1145,Produto L,6,105
4,1146,Produto M,24,150
4,1147,Produto N,12,250
4,1148,Produto O,48,42
4,1149,Produto P,12,56
4,1150,Produto Q,6,99
4,1151,Produto R,24,88
4,1152,Produto S,12,77
4,1153,Produto T,48,60
4,1154,Produto U,12,320
4,1155,Produto V,6,15
4,1156,Produto W,24,48
4,1157,Produto X,12,99
4,1158,Produto Y,48,650
4,1159,Produto Z,12,72
4,1160,Produto AA,6,50
4,1161,Produto AB,24,10
4,1162,Produto AC,12,8
4,1163,Produto AD,48,9
4,1164,Produto AE,12,12
4,1165,Produto AF,6,24
4,1166,Produto AG,24,36
4,1167,Produto AH,12,48
4,1168,Produto AI,48,99
4,1169,Produto AJ,12,50
4,1170,Produto AK,6,100
4,1171,Produto AL,24,150
4,1172,Produto AM,12,111
4,1173,Produto AN,48,223
4,1174,Produto AO,12,333
4,1175,Produto AP,6,665
4,1176,Produto AQ,24,540
4,1177,Produto AR,12,200
4,1178,Produto AS,48,250
4,1179,Produto AT,12,35
4,1180,Produto AU,6,65
1,1181,Produto AV,24,88
1,1182,Produto AW,12,99
1,1183,Produto AX,48,105
1,1184,Produto D,48,150
1,1185,Produto E,12,250
1,1186,Produto F,24,42
1,1187,Produto G,6,56
1,1188,Produto H,12,99
1,1189,Produto I,24,88
1,1190,Produto J,48,77
1,1191,Produto K,12,60
1,1192,Produto L,6,320
1,1193,Produto M,24,15
1,1194,Produto N,12,48
1,1195,Produto O,48,99
1,1196,Produto P,12,650
1,1197,Produto Q,6,72
1,1198,Produto R,24,50
1,1199,Produto S,12,10
1,1200,Produto T,48,8
2,1201,Produto U,12,9
2,1202,Produto V,6,12
2,1203,Produto W,24,24
2,1204,Produto X,12,36
2,1205,Produto Y,48,48
2,1206,Produto Z,12,99
2,1207,Produto AA,6,50
2,1208,Produto AB,24,100
2,1209,Produto AC,12,150
2,1210,Produto AD,48,111
2,1211,Produto AE,12,223
2,1212,Produto AF,6,333
2,1213,Produto AG,24,665
2,1214,Produto AH,12,540
2,1215,Produto AI,48,200
2,1216,Produto AJ,12,250
2,1217,Produto AK,6,35
2,1218,Produto AL,24,65
2,1219,Produto AM,12,88
2,1220,Produto AN,48,99
2,1221,Produto AO,12,105
2,1222,Produto AP,6,150
2,1223,Produto AQ,24,250
3,1224,Produto AR,12,42
3,1225,Produto AS,48,56
3,1226,Produto AT,12,99
3,1227,Produto AU,6,88
3,1228,Produto AV,24,77
3,1229,Produto AW,12,60
3,1230,Produto AX,48,320
3,1231,Produto D,48,15
3,1232,Produto E,12,48
3,1233,Produto F,24,99
3,1234,Produto G,6,650
3,1235,Produto H,12,72
3,1236,Produto I,24,50
3,1237,Produto J,48,10
3,1238,Produto K,12,8
3,1239,Produto L,6,9
3,1240,Produto M,24,12
3,1241,Produto N,12,24
3,1242,Produto O,48,36
3,1243,Produto P,12,48
3,1244,Produto Q,6,99
3,1245,Produto R,24,50
3,1246,Produto S,12,100
3,1247,Produto T,48,150
3,1248,Produto U,12,111
3,1249,Produto V,6,223
3,1250,Produto W,24,333
3,1251,Produto X,12,665
3,1252,Produto Y,48,540
3,1253,Produto Z,12,200
3,1254,Produto AA,6,250
3,1255,Produto AB,24,35
3,1256,Produto AC,12,65
3,1257,Produto AD,48,88
3,1258,Produto AE,12,99
3,1259,Produto AF,6,105
3,1260,Produto AG,24,150
4,1261,Produto AH,12,250
4,1262,Produto AI,48,42
4,1263,Produto AJ,12,56
4,1264,Produto AK,6,99
4,1265,Produto AL,24,88
4,1266,Produto AM,12,77
4,1267,Produto AN,48,60
4,1268,Produto AO,12,320
4,1269,Produto AP,6,15
4,1270,Produto AQ,24,48
4,1271,Produto AR,12,99
4,1272,Produto AS,48,650
4,1273,Produto AT,12,72
4,1274,Produto AU,6,50
4,1275,Produto AV,24,10
4,1276,Produto AW,12,8
4,1277,Produto AX,48,9
4,1278,Produto D,48,12
4,1279,Produto E,12,24
4,1280,Produto F,24,36
4,1281,Produto G,6,48
4,1282,Produto H,12,99
4,1283,Produto I,24,50
4,1284,Produto J,48,100
4,1285,Produto K,12,150
4,1286,Produto L,6,111
4,1287,Produto M,24,223
4,1288,Produto N,12,333
4,1289,Produto O,48,665
4,1290,Produto P,12,540
4,1291,Produto Q,6,200
4,1292,Produto R,24,250
4,1293,Produto S,12,35
4,1294,Produto T,48,65
4,1295,Produto U,12,88
4,1296,Produto V,6,99
4,1297,Produto W,24,105
4,1298,Produto X,12,150
1,1299,Produto Y,48,250
1,1300,Produto Z,12,42
1,1301,Produto AA,6,56
1,1302,Produto AB,24,99
1,1303,Produto AC,12,88
1,1304,Produto AD,48,77
1,1305,Produto AE,12,60
1,1306,Produto AF,6,320
1,1307,Produto AG,24,15
1,1308,Produto AH,12,48
1,1309,Produto AI,48,99
1,1310,Produto AJ,12,650
1,1311,Produto AK,6,72
1,1312,Produto AL,24,50
1,1313,Produto AM,12,10
1,1314,Produto AN,48,8
1,1315,Produto AO,12,9
1,1316,Produto AP,6,12
1,1317,Produto AQ,24,24
1,1318,Produto AR,12,36
2,1319,Produto AS,48,48
2,1320,Produto AT,12,99
2,1321,Produto AU,6,50
2,1322,Produto AV,24,100
2,1323,Produto AW,12,150
2,1324,Produto AX,48,111
2,1325,Produto D,48,223
2,1326,Produto E,12,333
2,1327,Produto F,24,665
2,1328,Produto G,6,540
2,1329,Produto H,12,200
2,1330,Produto I,24,250
2,1331,Produto J,48,35
2,1332,Produto K,12,65
2,1333,Produto L,6,88
2,1334,Produto M,24,99
2,1335,Produto N,12,105
2,1336,Produto O,48,150
2,1337,Produto P,12,250
2,1338,Produto Q,6,42
2,1339,Produto R,24,56
2,1340,Produto S,12,99
2,1341,Produto T,48,88
3,1342,Produto U,12,77
3,1343,Produto V,6,60
3,1344,Produto W,24,320
3,1345,Produto X,12,15
3,1346,Produto Y,48,48
3,1347,Produto Z,12,99
3,1348,Produto AA,6,650
3,1349,Produto AB,24,72
3,1350,Produto AC,12,50
3,1351,Produto AD,48,10
3,1352,Produto AE,12,8
3,1353,Produto AF,6,9
3,1354,Produto AG,24,12
3,1355,Produto AH,12,24
3,1356,Produto AI,48,36
3,1357,Produto AJ,12,48
3,1358,Produto AK,6,99
3,1359,Produto AL,24,50
3,1360,Produto AM,12,100
3,1361,Produto AN,48,150
3,1362,Produto AO,12,111
3,1363,Produto AP,6,223
3,1364,Produto AQ,24,333
3,1365,Produto AR,12,665
3,1366,Produto AS,48,540
3,1367,Produto AT,12,200
3,1368,Produto AU,6,250
3,1369,Produto AV,24,35
3,1370,Produto AW,12,65
3,1371,Produto AX,48,88
3,1372,Produto D,48,99
3,1373,Produto E,12,105
3,1374,Produto F,24,150
3,1375,Produto G,6,250
3,1376,Produto H,12,42
3,1377,Produto I,24,56
3,1378,Produto J,48,99
4,1379,Produto K,12,88
4,1380,Produto L,6,77
4,1381,Produto M,24,60
4,1382,Produto N,12,320
4,1383,Produto O,48,15
4,1384,Produto P,12,48
4,1385,Produto Q,6,99
4,1386,Produto R,24,650
4,1387,Produto S,12,72
4,1388,Produto T,48,50
4,1389,Produto U,12,10
4,1390,Produto V,6,8
4,1391,Produto W,24,9
4,1392,Produto X,12,12
4,1393,Produto Y,48,24
4,1394,Produto Z,12,36
4,1395,Produto AA,6,48
4,1396,Produto AB,24,99
4,1397,Produto AC,12,50
4,1398,Produto AD,48,100
4,1399,Produto AE,12,150
4,1400,Produto AF,6,111
4,1401,Produto AG,24,223
4,1402,Produto AH,12,333
4,1403,Produto AI,48,665
4,1404,Produto AJ,12,540
4,1405,Produto AK,6,200
4,1406,Produto AL,24,250
4,1407,Produto AM,12,35
4,1408,Produto AN,48,65
4,1409,Produto AO,12,88
4,1410,Produto AP,6,99
4,1411,Produto AQ,24,105
4,1412,Produto AR,12,150
4,1413,Produto AS,48,250
4,1414,Produto AT,12,42
4,1415,Produto AU,6,56
4,1416,Produto AV,24,99
1,1417,Produto AW,12,88
1,1418,Produto AX,48,77
1,1419,Produto A,12,60
1,1420,Produto B,24,320
1,1421,Produto C,6,15
1,1422,Produto D,48,48
1,1423,Produto E,12,99
1,1424,Produto F,24,650
1,1425,Produto G,6,72
1,1426,Produto H,12,50
1,1427,Produto I,24,10
1,1428,Produto J,48,8
1,1429,Produto K,12,9
1,1430,Produto L,6,12
1,1431,Produto M,24,24
1,1432,Produto N,12,36
1,1433,Produto O,48,48
1,1434,Produto P,12,99
1,1435,Produto Q,6,50
1,1436,Produto R,24,100
2,1437,Produto S,12,150
2,1438,Produto T,48,111
2,1439,Produto U,12,223
2,1440,Produto V,6,333
2,1441,Produto W,24,665
2,1442,Produto X,12,540
2,1443,Produto Y,48,200
2,1444,Produto Z,12,250
2,1445,Produto AA,6,35
2,1446,Produto AB,24,65
2,1447,Produto AC,12,88
2,1448,Produto AD,48,99
2,1449,Produto AE,12,105
2,1450,Produto AF,6,150
2,1451,Produto AG,24,250
2,1452,Produto AH,12,42
2,1453,Produto AI,48,56
2,1454,Produto AJ,12,99
2,1455,Produto AK,6,88
2,1456,Produto AL,24,77
2,1457,Produto AM,12,60
2,1458,Produto AN,48,320
2,1459,Produto AO,12,15
3,1460,Produto AP,6,48
3,1461,Produto AQ,24,99
3,1462,Produto AR,12,650
3,1463,Produto AS,48,72
3,1464,Produto AT,12,50
3,1465,Produto AU,6,10
3,1466,Produto AV,24,8
3,1467,Produto AW,12,9
3,1468,Produto AX,48,12
3,1469,Produto AY,12,24
3,1470,Produto AZ,6,36
3,1471,Produto BA,24,48
3,1472,Produto BB,12,99
3,1473,Produto BC,48,50
3,1474,Produto BD,12,100
3,1475,Produto BE,6,150
3,1476,Produto BF,24,111
3,1477,Produto BG,12,223
3,1478,Produto BH,48,333
3,1479,Produto BI,12,665
3,1480,Produto BJ,6,540
3,1481,Produto BK,24,200
3,1482,Produto BL,12,250
3,1483,Produto BM,48,35
3,1484,Produto BN,12,65
3,1485,Produto BO,6,88
3,1486,Produto BP,24,99
3,1487,Produto BQ,12,105
3,1488,Produto BR,48,150
3,1489,Produto BS,12,250
3,1490,Produto BT,6,42
3,1491,Produto BU,24,56
3,1492,Produto BV,12,99
3,1493,Produto BW,48,88
3,1494,Produto BX,12,77
3,1495,Produto BY,6,60
3,1496,Produto BZ,24,320
4,1497,Produto CA,12,15
4,1498,Produto CB,48,48
4,1499,Produto CC,12,99
4,1500,Produto CD,6,650
4,1501,Produto CE,24,72
4,1502,Produto CF,12,50
4,1503,Produto CG,48,10
4,1504,Produto CH,12,8
4,1505,Produto CI,6,9
4,1506,Produto CJ,24,12
4,1507,Produto CK,12,24
4,1508,Produto CL,48,36
4,1509,Produto CM,12,48
4,1510,Produto CN,6,99
4,1511,Produto CO,24,50
4,1512,Produto CP,12,100
4,1513,Produto CQ,48,150
4,1514,Produto CR,12,111
4,1515,Produto CS,6,223
4,1516,Produto CT,24,333
4,1517,Produto CU,12,665
4,1518,Produto CV,48,540
4,1519,Produto A,12,200
4,1520,Produto B,24,250
4,1521,Produto C,6,35
4,1522,Produto D,48,65
4,1523,Produto E,12,88
4,1524,Produto F,24,99
4,1525,Produto G,6,105
4,1526,Produto H,12,150
4,1527,Produto I,24,250
4,1528,Produto J,48,42
4,1529,Produto K,12,56
4,1530,Produto L,6,99
4,1531,Produto M,24,88
4,1532,Produto N,12,77
4,1533,Produto O,48,60
4,1534,Produto P,12,320
1,1535,Produto Q,6,15
1,1536,Produto R,24,48
1,1537,Produto S,12,99
1,1538,Produto T,48,650
1,1539,Produto U,12,72
1,1540,Produto V,6,50
1,1541,Produto W,24,10
1,1542,Produto X,12,8
1,1543,Produto Y,48,9
1,1544,Produto Z,12,12
1,1545,Produto AA,6,24
1,1546,Produto AB,24,36
1,1547,Produto AC,12,48
1,1548,Produto AD,48,99
1,1549,Produto AE,12,50
1,1550,Produto AF,6,100
1,1551,Produto AG,24,150
1,1552,Produto AH,12,111
1,1553,Produto AI,48,223
1,1554,Produto AJ,12,333
2,1555,Produto AK,6,665
2,1556,Produto AL,24,540
2,1557,Produto AM,12,200
2,1558,Produto AN,48,250
2,1559,Produto AO,12,35
2,1560,Produto AP,6,65
2,1561,Produto AQ,24,88
2,1562,Produto AR,12,99
2,1563,Produto AS,48,105
2,1564,Produto AT,12,150
2,1565,Produto AU,6,250
2,1566,Produto AV,24,42
2,1567,Produto AW,12,56
2,1568,Produto AX,48,99
2,1569,Produto AY,12,88
2,1570,Produto AZ,6,77
2,1571,Produto BA,24,60
2,1572,Produto BB,12,320
2,1573,Produto BC,48,15
2,1574,Produto BD,12,48
2,1575,Produto BE,6,99
2,1576,Produto BF,24,650
2,1577,Produto BG,12,72
3,1578,Produto BH,48,50
3,1579,Produto BI,12,10
3,1580,Produto BJ,6,8
3,1581,Produto BK,24,9
3,1582,Produto BL,12,12
3,1583,Produto BM,48,24
3,1584,Produto BN,12,36
3,1585,Produto BO,6,48
3,1586,Produto BP,24,99
3,1587,Produto BQ,12,50
3,1588,Produto BR,48,100
3,1589,Produto BS,12,150
3,1590,Produto BT,6,111
3,1591,Produto BU,24,223
3,1592,Produto BV,12,333
3,1593,Produto BW,48,665
3,1594,Produto BX,12,540
3,1595,Produto BY,6,200
3,1596,Produto BZ,24,250
3,1597,Produto CA,12,35
3,1598,Produto CB,48,65
3,1599,Produto CC,12,88
3,1600,Produto CD,6,99
3,1601,Produto CE,24,105
3,1602,Produto CF,12,150
3,1603,Produto CG,48,250
3,1604,Produto CH,12,42
3,1605,Produto CI,6,56
3,1606,Produto CJ,24,99
3,1607,Produto CK,12,88
3,1608,Produto CL,48,77
3,1609,Produto CM,12,60
3,1610,Produto CN,6,320
3,1611,Produto CO,24,15
3,1612,Produto CP,12,48
3,1613,Produto CQ,48,99
3,1614,Produto CR,12,650
4,1615,Produto CS,6,72
4,1616,Produto CT,24,50
4,1617,Produto CU,12,10
4,1618,Produto CV,48,8
4,1619,Produto CH,12,9
4,1620,Produto CI,6,12
4,1621,Produto CJ,24,24
4,1622,Produto CK,12,36
4,1623,Produto CL,48,48
4,1624,Produto CM,12,99
4,1625,Produto CN,6,50
4,1626,Produto CO,24,100
4,1627,Produto CP,12,150
4,1628,Produto CQ,48,111
4,1629,Produto CR,12,223
4,1630,Produto CS,6,333
4,1631,Produto CT,24,665
4,1632,Produto CU,12,540
4,1633,Produto CV,48,200
4,1634,Produto AH,12,250
4,1635,Produto AI,48,35
4,1636,Produto AJ,12,65
4,1637,Produto AK,6,88
4,1638,Produto AL,24,99
4,1639,Produto AM,12,105
4,1640,Produto AN,48,150
4,1641,Produto AO,12,250
4,1642,Produto AP,6,42
4,1643,Produto AQ,24,56
4,1644,Produto AR,12,99
4,1645,Produto AS,48,88
4,1646,Produto AT,12,77
4,1647,Produto AU,6,60
4,1648,Produto AV,24,320
4,1649,Produto AW,12,15
4,1650,Produto AX,48,48
4,1651,Produto AY,12,99
4,1652,Produto AZ,6,650
1,1653,Produto BA,24,72
1,1654,Produto BB,12,50
1,1655,Produto BC,48,10
1,1656,Produto A,12,8
1,1657,Produto B,24,9
1,1658,Produto C,6,12
1,1659,Produto D,48,24
1,1660,Produto E,12,36
1,1661,Produto F,24,48
1,1662,Produto G,6,99
1,1663,Produto H,12,50
1,1664,Produto I,24,100
1,1665,Produto J,48,150
1,1666,Produto K,12,111
1,1667,Produto L,6,223
1,1668,Produto M,24,333
1,1669,Produto N,12,665
1,1670,Produto O,48,540
1,1671,Produto P,12,200
1,1672,Produto Q,6,250
2,1673,Produto R,24,35
2,1674,Produto S,12,65
2,1675,Produto T,48,88
2,1676,Produto U,12,99
2,1677,Produto V,6,105
2,1678,Produto W,24,150
2,1679,Produto X,12,250
2,1680,Produto Y,48,42
2,1681,Produto Z,12,56
2,1682,Produto AA,6,99
2,1683,Produto AB,24,88
2,1684,Produto AC,12,77
2,1685,Produto AD,48,60
2,1686,Produto AE,12,320
2,1687,Produto AF,6,15
2,1688,Produto AG,24,48
2,1689,Produto AH,12,99
2,1690,Produto AI,48,650
2,1691,Produto AJ,12,72
2,1692,Produto AK,6,50
2,1693,Produto AL,24,10
2,1694,Produto AM,12,8
2,1695,Produto AN,48,9
3,1696,Produto AO,12,12
3,1697,Produto AP,6,24
3,1698,Produto AQ,24,36
3,1699,Produto AR,12,48
3,1700,Produto AS,48,99
3,1701,Produto AT,12,50
3,1702,Produto AU,6,100
3,1703,Produto AV,24,150
3,1704,Produto AW,12,111
3,1705,Produto AX,48,223
3,1706,Produto AY,12,333
3,1707,Produto AZ,6,665
3,1708,Produto BA,24,540
3,1709,Produto BB,12,200
3,1710,Produto BC,48,250
3,1711,Produto BD,12,35
3,1712,Produto BE,6,65
3,1713,Produto BF,24,88
3,1714,Produto BG,12,99
3,1715,Produto BH,48,105
3,1716,Produto BI,12,150
3,1717,Produto BJ,6,250
3,1718,Produto BK,24,42
3,1719,Produto BL,12,56
3,1720,Produto BM,48,99
3,1721,Produto BN,12,88
3,1722,Produto BO,6,77
3,1723,Produto BP,24,60
3,1724,Produto BQ,12,320
3,1725,Produto BR,48,15
3,1726,Produto BS,12,48
3,1727,Produto BT,6,99
3,1728,Produto BU,24,650
3,1729,Produto BV,12,72
3,1730,Produto BW,48,50
3,1731,Produto BX,12,10
3,1732,Produto BY,6,8
4,1733,Produto BZ,24,9
4,1734,Produto CA,12,12
4,1735,Produto CB,48,24
4,1736,Produto CC,12,36
4,1737,Produto CD,6,48
4,1738,Produto CE,24,99
4,1739,Produto CF,12,50
4,1740,Produto CG,48,100
4,1741,Produto CH,12,150
4,1742,Produto CI,6,111
4,1743,Produto CJ,24,223
4,1744,Produto CK,12,333
4,1745,Produto CL,48,665
4,1746,Produto CM,12,540
4,1747,Produto CN,6,200
4,1748,Produto CO,24,250
4,1749,Produto CP,12,35
4,1750,Produto CQ,48,65
4,1751,Produto CR,12,88
4,1752,Produto CS,6,99
4,1753,Produto CT,24,105
4,1754,Produto CU,12,150
4,1755,Produto CV,48,250
4,1756,Produto A,12,42
4,1757,Produto B,24,56
4,1758,Produto C,6,99
4,1759,Produto D,48,88
4,1760,Produto E,12,77
4,1761,Produto F,24,60
4,1762,Produto G,6,320
4,1763,Produto H,12,15
4,1764,Produto I,24,48
4,1765,Produto J,48,99
4,1766,Produto K,12,650
4,1767,Produto L,6,72
4,1768,Produto M,24,50
4,1769,Produto N,12,10
4,1770,Produto O,48,8
1,1771,Produto P,12,9
1,1772,Produto Q,6,12
1,1773,Produto R,24,24
1,1774,Produto S,12,36
1,1775,Produto T,48,48
1,1776,Produto U,12,99
1,1777,Produto V,6,50
1,1778,Produto W,24,100
1,1779,Produto X,12,150
1,1780,Produto Y,48,111
1,1781,Produto Z,12,223
1,1782,Produto AA,6,333
1,1783,Produto AB,24,665
1,1784,Produto AC,12,540
1,1785,Produto AD,48,200
1,1786,Produto AE,12,250
1,1787,Produto AF,6,35
1,1788,Produto AG,24,65
1,1789,Produto AH,12,88
1,1790,Produto AI,48,99
2,1791,Produto AJ,12,105
2,1792,Produto AK,6,150
2,1793,Produto AL,24,250
2,1794,Produto AM,12,42
2,1795,Produto AN,48,56
2,1796,Produto AO,12,99
2,1797,Produto AP,6,88
2,1798,Produto AQ,24,77
2,1799,Produto AR,12,60
2,1800,Produto AS,48,320
2,1801,Produto AT,12,15
2,1802,Produto AU,6,48
2,1803,Produto AV,24,99
2,1804,Produto AW,12,650
2,1805,Produto AX,48,72
2,1806,Produto AY,12,50
2,1807,Produto AZ,6,10
2,1808,Produto BA,24,8
2,1809,Produto BB,12,9
2,1810,Produto BC,48,12
2,1811,Produto BD,12,24
2,1812,Produto BE,6,36
2,1813,Produto BF,24,48
3,1814,Produto BG,12,99
3,1815,Produto BH,48,50
3,1816,Produto BI,12,100
3,1817,Produto BJ,6,150
3,1818,Produto BK,24,111
3,1819,Produto BL,12,223
3,1820,Produto BM,48,333
3,1821,Produto BN,12,665
3,1822,Produto BO,6,540
3,1823,Produto BP,24,200
3,1824,Produto BQ,12,250
3,1825,Produto BR,48,35
3,1826,Produto BS,12,65
3,1827,Produto BT,6,88
3,1828,Produto BU,24,99
3,1829,Produto BV,12,105
3,1830,Produto BW,48,150
3,1831,Produto BX,12,250
3,1832,Produto BY,6,42
3,1833,Produto BZ,24,56
3,1834,Produto CA,12,99
3,1835,Produto CB,48,88
3,1836,Produto CC,12,77
3,1837,Produto CD,6,60
3,1838,Produto CE,24,320
3,1839,Produto CF,12,15
3,1840,Produto CG,48,48
3,1841,Produto CH,12,99
3,1842,Produto CI,6,650
3,1843,Produto CJ,24,72
3,1844,Produto CK,12,50
3,1845,Produto CL,48,10
3,1846,Produto CM,12,8
3,1847,Produto CN,6,9
3,1848,Produto CO,24,12
3,1849,Produto CP,12,24
3,1850,Produto CQ,48,36
4,1851,Produto CR,12,48
4,1852,Produto CS,6,99
4,1853,Produto CT,24,50
4,1854,Produto CU,12,100
4,1855,Produto CV,48,150
4,1856,Produto CH,12,111
4,1857,Produto CI,6,223
4,1858,Produto CJ,24,333
4,1859,Produto CK,12,665
4,1860,Produto CL,48,540
4,1861,Produto CM,12,200
4,1862,Produto CN,6,250
4,1863,Produto CO,24,35
4,1864,Produto CP,12,65
4,1865,Produto CQ,48,88
4,1866,Produto CR,12,99
4,1867,Produto CS,6,105
4,1868,Produto CT,24,150
4,1869,Produto CU,12,250
4,1870,Produto CV,48,42
4,1871,Produto AH,12,56
4,1872,Produto AI,48,99
4,1873,Produto AJ,12,88
4,1874,Produto AK,6,77
4,1875,Produto AL,24,60
4,1876,Produto AM,12,320
4,1877,Produto AN,48,15
4,1878,Produto AO,12,48
4,1879,Produto AP,6,99
4,1880,Produto AQ,24,650
4,1881,Produto AR,12,72
4,1882,Produto AS,48,50
4,1883,Produto AT,12,10
4,1884,Produto AU,6,8
4,1885,Produto AV,24,9
4,1886,Produto AW,12,12
4,1887,Produto AX,48,24
4,1888,Produto AY,12,36
1,1889,Produto AZ,6,48
1,1890,Produto BA,24,99
1,1891,Produto BB,12,50
1,1892,Produto BC,48,100
1,1893,Produto A,12,150
1,1894,Produto B,24,111
1,1895,Produto C,6,223
1,1896,Produto D,48,333
1,1897,Produto E,12,665
1,1898,Produto F,24,540
1,1899,Produto G,6,200
1,1900,Produto H,12,250
1,1901,Produto I,24,35
1,1902,Produto J,48,65
1,1903,Produto K,12,88
1,1904,Produto L,6,99
1,1905,Produto M,24,105
1,1906,Produto N,12,150
1,1907,Produto O,48,250
1,1908,Produto P,12,42
2,1909,Produto Q,6,56
2,1910,Produto R,24,99
2,1911,Produto S,12,88
2,1912,Produto T,48,77
2,1913,Produto U,12,60
2,1914,Produto V,6,320
2,1915,Produto W,24,15
2,1916,Produto X,12,48
2,1917,Produto Y,48,99
2,1918,Produto Z,12,650
2,1919,Produto AA,6,72
2,1920,Produto AB,24,50
2,1921,Produto AC,12,10
2,1922,Produto AD,48,8
2,1923,Produto AE,12,9
2,1924,Produto AF,6,12
2,1925,Produto AG,24,24
2,1926,Produto AH,12,36
2,1927,Produto AI,48,48
2,1928,Produto AJ,12,99
2,1929,Produto AK,6,50
2,1930,Produto AL,24,100
2,1931,Produto AM,12,150
3,1932,Produto AN,48,111
3,1933,Produto AO,12,223
3,1934,Produto AP,6,333
3,1935,Produto AQ,24,665
3,1936,Produto AR,12,540
3,1937,Produto AS,48,200
3,1938,Produto AT,12,250
3,1939,Produto AU,6,35
3,1940,Produto AV,24,65
3,1941,Produto AW,12,88
3,1942,Produto AX,48,99
3,1943,Produto AY,12,105
3,1944,Produto AZ,6,150
3,1945,Produto BA,24,250
3,1946,Produto BB,12,42
3,1947,Produto BC,48,56
3,1948,Produto BD,12,99
3,1949,Produto BE,6,88
3,1950,Produto BF,24,77
3,1951,Produto BG,12,60
3,1952,Produto BH,48,320
